cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count
899909,4-formyl-3-hydroxynaphthalene-2-carboxylic acid,C1=CC=C2C(=C1)C=C(C(=C2C=O)O)C(=O)O,216.19199999999998,16,12,4,0,0,0,2
681464,"5-methyl-N-[(1,3,5-trimethylpyrazol-4-yl)methylideneamino]-1H-pyrazole-3-carboxamide",CC1=CC(=NN1)C(=O)NN=CC2=C(N(N=C2C)C)C,260.301,19,12,1,6,0,0,2
796484,"(2,6-dimethoxyphenyl)-(4-propan-2-ylpiperazin-1-yl)methanone",CC(C)N1CCN(CC1)C(=O)C2=C(C=CC=C2OC)OC,292.3790000000001,21,16,3,2,0,0,1
98043,"3,7,11-trimethyldodeca-1,6,10-trien-3-yl acetate",CC(=CCCC(=CCCC(C)(C=C)OC(=O)C)C)C,264.409,19,17,2,0,0,0,0
397688,"6,8-dichloro-3-[4-[(6-nitro-1,3-benzodioxol-5-yl)methylideneamino]oxybutoxyiminomethyl]chromen-4-one",C1OC2=C(O1)C=C(C(=C2)C=NOCCCCON=CC3=COC4=C(C3=O)C=C(C=C4Cl)Cl)[N+](=O)[O-],522.2970000000001,35,22,8,3,0,2,3
395491,"1-methyl-2,3,5-trithiophen-2-ylpyrrole",CN1C(=CC(=C1C2=CC=CS2)C3=CC=CS3)C4=CC=CS4,327.499,21,17,0,1,3,0,4
579550,1-cyclopentylethyl 4-fluorobenzoate,CC(C1CCCC1)OC(=O)C2=CC=C(C=C2)F,236.286,17,14,2,0,0,1,1
499128,"2-(4,5-dimethyl-1,3-dithiol-2-ylidene)-5-hydroxy-6H-[1,3]dithiolo[4,5-d]pyrimidin-4-ium-7-one;tetrabutylazanium",CCCC[N+](CCCC)(CCCC)CCCC.CC1=C(SC(=C2SC3=C(S2)[NH+]=C(NC3=O)O)S1)C,559.9330000000001,35,26,2,3,4,0,1
58841,"diethyl 2-[2-(3-methyl-1-phenyl-1,8-diaza-3-azoniaspiro[4.5]decan-8-yl)ethyl]propanedioate chloride",CCOC(=O)C(CCN1CCC2(CC1)C[NH+](CN2C3=CC=CC=C3)C)C(=O)OCC.[Cl-],454.0110000000001,31,23,4,3,0,1,1
667679,"(3R)-1'-ethylspiro[1-azabicyclo[2.2.2]octane-3,3'-pyrrolidine]-2',5'-dione",CCN1C(=O)CC2(C1=O)CN3CCC2CC3,222.28799999999993,16,12,2,2,0,0,0
9910,"1-[3-[3-(3-nitrophenyl)prop-2-enyl]-3,6-diazabicyclo[3.2.1]octan-6-yl]propan-1-one;hydrochloride",CCC(=O)N1CC2CC1CN(C2)CC=CC3=CC(=CC=C3)[N+](=O)[O-].Cl,365.86100000000005,25,18,3,3,0,1,1
736987,N-[(4-methoxyphenyl)-[4-(2-methylpropoxy)phenyl]methylidene]hydroxylamine,CC(C)COC1=CC=C(C=C1)C(=NO)C2=CC=C(C=C2)OC,299.37000000000006,22,18,3,1,0,0,2
179709,2-methoxy-4-(methoxyiminomethyl)phenol,COC1=C(C=CC(=C1)C=NOC)O,181.19099999999995,13,9,3,1,0,0,1
86703,"(3,3-dimethyl-2-bicyclo[2.2.1]heptanyl)methanol",CC1(C2CCC(C2)C1CO)C,154.25300000000001,11,10,1,0,0,0,0
524140,"4-(2,2-dichlorocyclopropyl)butylbenzene",C1C(C1(Cl)Cl)CCCCC2=CC=CC=C2,243.177,15,13,0,0,0,2,1
886393,"S-(4-chlorophenyl) 3,4-dimethoxybenzenecarbothioate",COC1=C(C=C(C=C1)C(=O)SC2=CC=C(C=C2)Cl)OC,308.786,20,15,3,0,1,1,2
454988,"[(2R,4R)-4-(6-amino-2-fluoropurin-9-yl)-1,3-dioxolan-2-yl]methanol",C1C(OC(O1)CO)N2C=NC3=C(N=C(N=C32)F)N,255.209,18,9,3,5,0,1,2
676235,"4-phenyl-3-thiophen-2-yl-1H-1,2,4-triazole-5-thione",C1=CC=C(C=C1)N2C(=NNC2=S)C3=CC=CS3,259.359,17,12,0,3,2,0,3
822479,N-[[(2S)-oxolan-2-yl]methyl]-4-phenylbutanamide,C1CC(OC1)CNC(=O)CCCC2=CC=CC=C2,247.338,18,15,2,1,0,0,1
347363,1-(3-aminopropyl)-3-phenylurea,C1=CC=C(C=C1)NC(=O)NCCCN,193.24999999999994,14,10,1,3,0,0,1
593344,"1-methyl-3-tetradecanoylpyrrolidine-2,4-dione",CCCCCCCCCCCCCC(=O)C1C(=O)CN(C1=O)C,323.47700000000003,23,19,3,1,0,0,0
899637,(2R)-2-(4-methoxyphenyl)-2-(2-methylanilino)acetonitrile,CC1=CC=CC=C1NC(C#N)C2=CC=C(C=C2)OC,252.317,19,16,1,2,0,0,2
99995,"2-(1,3-dithiolan-2-yl)cyclooctan-1-one",C1CCCC(=O)C(CC1)C2SCCS2,230.398,14,11,1,0,2,0,0
938257,3-ethyl-2-propan-2-ylsulfanylquinazolin-4-one,CCN1C(=O)C2=CC=CC=C2N=C1SC(C)C,248.35099999999997,17,13,1,2,1,0,2
963801,"N-(2,4-difluorophenyl)-3-(furan-2-yl)prop-2-enamide",C1=COC(=C1)C=CC(=O)NC2=C(C=C(C=C2)F)F,249.21599999999995,18,13,2,1,0,2,2
44619,9H-carbazol-2-amine,C1=CC=C2C(=C1)C3=C(N2)C=C(C=C3)N,182.22599999999997,14,12,0,2,0,0,3
240928,"3-methyl-2,4-dihydrobenzo[h][1,3]benzoxazine",CN1CC2=C(C3=CC=CC=C3C=C2)OC1,199.25299999999996,15,13,1,1,0,0,2
221687,"2-hexyl-4,4,6-trimethyl-1,3-dioxane",CCCCCCC1OC(CC(O1)(C)C)C,214.34899999999996,15,13,2,0,0,0,0
945054,3-methyl-N-[(2-oxo-1H-quinolin-3-yl)methyl]-N-propan-2-ylbenzamide,CC1=CC(=CC=C1)C(=O)N(CC2=CC3=CC=CC=C3NC2=O)C(C)C,334.41900000000004,25,21,2,2,0,0,3
910287,"N-(4-cyanophenyl)-2,2-diphenylacetamide",C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)C#N,312.372,24,21,1,2,0,0,3
725917,N-(4-chlorophenyl)-2-(4-pyridin-2-ylpiperazin-1-yl)acetamide,C1CN(CCN1CC(=O)NC2=CC=C(C=C2)Cl)C3=CC=CC=N3,330.8190000000001,23,17,1,4,0,1,2
930669,"(7S)-2-chloro-7-ethyl-7-methyl-5,8-dihydropyrano[4,3-b]pyridine-3-carbonitrile",CCC1(CC2=NC(=C(C=C2CO1)C#N)Cl)C,236.70199999999997,16,12,1,2,0,1,1
284264,"4-[2-amino-4-(4-methoxyphenyl)-7-oxo-5H-pyrrolo[3,4-d]pyrimidin-6-yl]butanoic acid",COC1=CC=C(C=C1)C2=C3CN(C(=O)C3=NC(=N2)N)CCCC(=O)O,342.35500000000013,25,17,4,4,0,0,2
48824,3-(6-cyclohexyl-7-methyl-6-azabicyclo[3.2.1]octan-1-yl)phenol,CC1C2(CCCC(C2)N1C3CCCCC3)C4=CC(=CC=C4)O,299.45799999999997,22,20,1,1,0,0,1
969052,N-[(4-methylphenyl)carbamothioyl]-2-nitrobenzamide,CC1=CC=C(C=C1)NC(=S)NC(=O)C2=CC=CC=C2[N+](=O)[O-],315.3540000000001,22,15,3,3,1,0,2
77960,"1,3-diphenylpropan-2-amine",C1=CC=C(C=C1)CC(CC2=CC=CC=C2)N,211.308,16,15,0,1,0,0,2
717676,"ethyl N-(4-chloro-2,5-dimethoxyphenyl)carbamate",CCOC(=O)NC1=CC(=C(C=C1OC)Cl)OC,259.68899999999996,17,11,4,1,0,1,1
970547,"1-(1,3-benzodioxol-5-yl)-3-[(1R)-1-[(2R)-oxolan-2-yl]ethyl]thiourea",CC(C1CCCO1)NC(=S)NC2=CC3=C(C=C2)OCO3,294.3760000000001,20,14,3,2,1,0,1
293993,1-(2-chlorophenyl)-6-hydroxy-5-[(4-methylphenyl)diazenyl]-3-phenyl-2-sulfanylidenepyrimidin-4-one,CC1=CC=C(C=C1)N=NC2=C(N(C(=S)N(C2=O)C3=CC=CC=C3)C4=CC=CC=C4Cl)O,448.9350000000001,31,23,2,4,1,1,4
942997,"10-(3,4-dichlorophenyl)-3,4,6,8,10,11-hexazatricyclo[7.3.0.02,6]dodeca-1(9),2,4,7,11-pentaene",C1=CC(=C(C=C1N2C3=C(C=N2)C4=NN=CN4C=N3)Cl)Cl,305.12800000000004,20,12,0,6,0,2,4
590883,"4-methoxy-3-[(2,3,4,5,6-pentafluorophenoxy)methyl]benzaldehyde",COC1=C(C=C(C=C1)C=O)COC2=C(C(=C(C(=C2F)F)F)F)F,332.2239999999999,23,15,3,0,0,5,2
690078,N-(4-bromo-2-methylphenyl)-2-chlorobenzamide,CC1=C(C=CC(=C1)Br)NC(=O)C2=CC=CC=C2Cl,324.605,18,14,1,1,0,2,2
188067,"(7R,12S)-5-fluoro-7,12-dimethylbenzo[a]anthracene-7,12-diol",CC1(C2=CC=CC=C2C(C3=C1C=C(C4=CC=CC=C43)F)(C)O)O,308.35200000000003,23,20,2,0,0,1,3
973883,"5-(4-methylphenyl)-1,2-oxazole-3-carboxylic acid",CC1=CC=C(C=C1)C2=CC(=NO2)C(=O)O,203.19699999999997,15,11,3,1,0,0,2
891738,"2-(4-ethoxyphenyl)-5-[[(2R)-oxolan-2-yl]methylamino]-1,3-oxazole-4-carbonitrile",CCOC1=CC=C(C=C1)C2=NC(=C(O2)NCC3CCCO3)C#N,313.357,23,17,3,3,0,0,2
329762,2-(5-phenyltetrazol-2-yl)-N-prop-2-enylacetamide,C=CCNC(=O)CN1N=C(N=N1)C2=CC=CC=C2,243.27000000000004,18,12,1,5,0,0,2
16419,"N'-(4-chlorophenyl)-N,N-dimethylmethanimidamide",CN(C)C=NC1=CC=C(C=C1)Cl,182.654,12,9,0,2,0,1,1
217222,ethyl 7-methoxy-4-oxochromene-2-carboxylate,CCOC(=O)C1=CC(=O)C2=C(O1)C=C(C=C2)OC,248.23399999999998,18,13,5,0,0,0,2
615552,"(8-acetyloxy-2,3-dichloroquinoxalin-5-yl) acetate",CC(=O)OC1=C2C(=C(C=C1)OC(=O)C)N=C(C(=N2)Cl)Cl,315.11199999999997,20,12,4,2,0,2,2
151196,N-formylbenzamide,C1=CC=C(C=C1)C(=O)NC=O,149.14899999999997,11,8,2,1,0,0,1
788796,"3,4-dimethyl-N-(pyridin-4-ylmethyl)benzamide",CC1=C(C=C(C=C1)C(=O)NCC2=CC=NC=C2)C,240.30599999999998,18,15,1,2,0,0,2
860557,"(2S)-N-[5-(4-ethoxyphenyl)-1,3,4-thiadiazol-2-yl]oxolane-2-carboxamide",CCOC1=CC=C(C=C1)C2=NN=C(S2)NC(=O)C3CCCO3,319.38600000000014,22,15,3,3,1,0,2
747333,"4-bromo-2-[(2S)-4-ethyl-1-hydroxy-5,5-dimethyl-2H-imidazol-2-yl]phenol",CCC1=NC(N(C1(C)C)O)C2=C(C=CC(=C2)Br)O,313.195,18,13,2,2,0,1,1
860779,"4-[5-[(4-fluorophenyl)methylsulfanyl]-1,3,4-oxadiazol-2-yl]phenol",C1=CC(=CC=C1CSC2=NN=C(O2)C3=CC=C(C=C3)O)F,302.33,21,15,2,2,1,1,3
417644,"5-chloro-7-methylnaphtho[2,1-b]quinolizin-12-ium",CC1=C2C=C(C3=CC=CC=C3C2=C[N+]4=CC=CC=C14)Cl,278.762,20,18,0,1,0,1,4
973996,"2,2-dimethyl-1-[1-(2-oxo-2-pyrrolidin-1-ylethyl)indol-3-yl]propan-1-one",CC(C)(C)C(=O)C1=CN(C2=CC=CC=C21)CC(=O)N3CCCC3,312.4130000000001,23,19,2,2,0,0,2
80675,"4,7-dihydroxynaphthalene-2-sulfonic acid",C1=CC2=C(C=C(C=C2C=C1O)S(=O)(=O)O)O,240.236,16,10,5,0,1,0,2
313815,"(1,1-dioxo-3,4-diphenylthiophen-2-yl)-phenylmethanone",C1=CC=C(C=C1)C2=CS(=O)(=O)C(=C2C3=CC=CC=C3)C(=O)C4=CC=CC=C4,372.44500000000005,27,23,3,0,1,0,3
170342,"2-amino-9-[(3R,4S)-4-hydroxy-3-(hydroxymethyl)-2-methylidenecyclopentyl]-3H-purin-6-one;hydrate",C=C1C(CC(C1CO)O)N2C=NC3=C2NC(=NC3=O)N.O,295.29900000000004,21,12,4,5,0,0,2
591354,"2-(1,3-benzoxazol-2-ylsulfanyl)-1-(3-nitrophenyl)ethanone",C1=CC=C2C(=C1)N=C(O2)SCC(=O)C3=CC(=CC=C3)[N+](=O)[O-],314.322,22,15,4,2,1,0,3
252154,"triethyl 4-cyano-1-methylbutane-1,2,2-tricarboxylate",CCOC(=O)C(C)C(CCC#N)(C(=O)OCC)C(=O)OCC,313.35,22,15,6,1,0,0,0
594224,ethyl 3-(4-cyanophenyl)-3-(dimethylamino)propanoate,CCOC(=O)CC(C1=CC=C(C=C1)C#N)N(C)C,246.31,18,14,2,2,0,0,1
875195,"4-(1,3-benzothiazol-2-ylmethyl)-2H-phthalazin-1-one",C1=CC=C2C(=C1)C(=NNC2=O)CC3=NC4=CC=CC=C4S3,293.351,21,16,1,3,1,0,4
